epoch,train_loss,train_acc,test_loss,test_acc
1,0.26143300696372984,90.802,0.3928517371654511,87.44
2,0.24619478834867478,91.49000000000001,0.43362893896102905,86.11
3,0.22600766543388368,92.142,0.3546581505775452,88.64
4,0.2109206928062439,92.666,0.38941318473815917,87.8
5,0.19888441781044006,93.014,0.35644824739694597,88.92
6,0.18580081879138946,93.378,0.3672185714364052,88.66000000000001
7,0.16892616823673248,94.12,0.3552424900531769,89.14999999999999
8,0.15720295690536498,94.46799999999999,0.4285238056182861,87.77000000000001
9,0.15035301911830903,94.724,0.35307773983478546,89.68
10,0.136086157143116,95.232,0.35470513038635254,90.24
