epoch,train_loss,train_acc,test_loss,test_acc
1,0.34097381728172305,88.256,0.3785433964252472,87.33
2,0.2919955804157257,90.012,0.39016685700416565,87.56
3,0.2569678452301025,91.026,0.36950589246749876,88.3
4,0.23769977523803712,91.73599999999999,0.32725666332244874,89.59
5,0.21713419620513916,92.438,0.3684620841026306,88.17
6,0.20331685092926025,92.904,0.36452184557914735,88.57000000000001
7,0.18536162611484527,93.434,0.35324985790252683,89.0
8,0.17444379564762116,93.822,0.34478963565826415,89.89
9,0.16168512467861176,94.34,0.37194621038436887,89.33
10,0.1482365081644058,94.816,0.35416313133239746,89.7
