model,params,nonzero_params,sparsity_%,size_MB,latency_ms_per_image,test_accuracy
baseline,11173962,11173962,0.0,44.734408,3.4268509999983507,86.83999999999999
structured_pruned,11173962,8948203,19.919156696613072,44.734408,6.194008399982522,89.89
global_pruned,11173962,8941092,19.98279571740087,44.734408,5.982324900004642,90.24
ptq,0,0,0.0,11.178792,1.5614071999843873,86.50999999999999
qat,0,0,0.0,11.178792,1.57293849999769,89.94
combined,11173962,8948203,19.919156696613072,11.178792,1.580079400021532,89.83
